workload,physical_nodes,minute,per_replica_tokens_s,prompt_reuse_pct
minisweagent,16,29.5,718.0166666666667,96.20603182485607
minisweagent,16,30.5,689.8979166666667,94.52643303394356
minisweagent,16,31.5,708.4375,95.08523606015355
minisweagent,16,32.5,702.1,94.55687155086828
minisweagent,16,33.5,693.9208333333333,95.52221588143905
minisweagent,16,34.5,667.8479166666667,94.56182756651431
minisweagent,16,35.5,682.6770833333334,94.53992070652237
minisweagent,16,36.5,689.4020833333333,94.13915669136016
minisweagent,16,37.5,705.30625,94.48155768059647
minisweagent,16,38.5,712.8583333333333,95.61383628169304
minisweagent,16,39.5,721.10625,95.63977380920242
minisweagent,16,40.5,703.3708333333333,96.01890208076999
minisweagent,16,41.5,708.6666666666666,95.63622963768672
minisweagent,16,42.5,687.16875,95.63695211993812
minisweagent,16,43.5,717.8041666666667,96.22441675625406
minisweagent,16,44.5,728.1270833333333,96.17170370254962
minisweagent,16,45.5,702.725,95.65737952328801
minisweagent,16,46.5,682.9875,95.61659287553958
minisweagent,16,47.5,698.9291666666667,95.64053162860068
minisweagent,16,48.5,703.9791666666666,95.97094712672886
minisweagent,16,49.5,691.1166666666667,95.23680159113927
minisweagent,16,50.5,713.9645833333333,96.2097514246787
minisweagent,16,51.5,717.73125,95.84145740292482
minisweagent,16,52.5,735.8541666666666,95.74055842404303
minisweagent,16,53.5,724.2833333333333,95.83564810488457
minisweagent,16,54.5,717.0708333333333,95.60512308053568
minisweagent,16,55.5,734.2770833333333,96.05187562670994
minisweagent,16,56.5,720.8979166666667,96.1581627139399
minisweagent,16,57.5,737.5958333333333,96.34669583481191
minisweagent,16,58.5,724.0833333333334,95.99794551081192
minisweagent,16,59.5,727.8541666666666,95.26396684083853
minisweagent,16,60.5,747.6666666666666,96.01199434018743
minisweagent,16,61.5,733.8416666666667,95.67032972030967
minisweagent,16,62.5,720.475,95.5461593772555
minisweagent,16,63.5,700.53125,94.57635253170791
minisweagent,16,64.5,733.4625,95.04082630864357
minisweagent,16,65.5,745.0166666666667,95.19706130465465
minisweagent,16,66.5,757.6895833333333,95.50265726977854
minisweagent,16,67.5,744.9520833333333,95.57598725153497
minisweagent,16,68.5,738.1104166666667,96.10814011705496
minisweagent,16,69.5,716.7833333333333,95.31924098929916
minisweagent,16,70.5,705.4541666666667,95.15713683884573
minisweagent,16,71.5,703.4895833333334,95.62307242897165
minisweagent,16,72.5,705.3229166666666,94.29857065012528
minisweagent,16,73.5,698.0270833333333,94.70553844608357
minisweagent,16,74.5,693.29375,94.97904384919389
minisweagent,16,75.5,709.8583333333333,95.22850301874666
minisweagent,16,76.5,699.7833333333333,95.22853207816617
minisweagent,16,77.5,682.7854166666667,95.12314563339179
minisweagent,16,78.5,684.9416666666667,94.38433417180063
minisweagent,16,79.5,675.4854166666667,94.0887421668388
minisweagent,16,80.5,686.8270833333333,95.65185213560454
minisweagent,16,81.5,681.7770833333333,94.72081508717422
minisweagent,16,82.5,669.9583333333334,93.65559506013496
minisweagent,16,83.5,697.7833333333333,95.49099051224324
minisweagent,16,84.5,671.2520833333333,94.89256964693237
minisweagent,16,85.5,707.4791666666666,95.11265896517881
minisweagent,16,86.5,715.4791666666666,96.07536920477551
minisweagent,16,87.5,727.2604166666666,96.43813224832365
minisweagent,16,88.5,719.6520833333333,95.37528203079434
minisweagent,16,89.5,728.7541666666667,95.99965821167147
minisweagent,32,0.5,713.9302083333333,94.79630931573669
minisweagent,32,1.5,712.359375,95.78181031662396
minisweagent,32,2.5,702.5447916666667,95.31771348041029
minisweagent,32,3.5,694.6645833333333,95.39815852884533
minisweagent,32,4.5,713.478125,95.68575862856451
minisweagent,32,5.5,720.4802083333333,95.35241447979024
minisweagent,32,6.5,722.9802083333333,95.99224807799996
minisweagent,32,7.5,701.06875,95.33623726650828
minisweagent,32,8.5,721.1135416666667,95.6238850185545
minisweagent,32,9.5,723.6583333333333,95.9838220922254
minisweagent,32,10.5,716.971875,95.7265026624439
minisweagent,32,11.5,721.6760416666667,95.94404408870977
minisweagent,32,12.5,712.4635416666666,95.25820421259866
minisweagent,32,13.5,706.58125,95.94641397282774
minisweagent,32,14.5,717.2489583333333,95.47073641188175
minisweagent,32,15.5,718.56875,95.74054526934609
