trace_id,cc,n_replays,mean_lifecycle_s,ratio_to_cc1
42576abe-0deb-4869-8c63-225c2d75a95a,2,1,24.02162428002339,1.132778614669183
42576abe-0deb-4869-8c63-225c2d75a95a,4,2,27.68781329446938,1.3056636978961804
42576abe-0deb-4869-8c63-225c2d75a95a,8,1,36.0469908809755,1.6998542611917142
42576abe-0deb-4869-8c63-225c2d75a95a,16,1,55.96876669302583,2.6392978784533208
42576abe-0deb-4869-8c63-225c2d75a95a,32,1,144.8555018279003,6.8308958950905065
42576abe-0deb-4869-8c63-225c2d75a95a,64,1,320.591208711965,15.117997894166757
56137764-b4e0-45b8-9c52-1866420c3df5,1,1,56.19261892908253,1.0
56137764-b4e0-45b8-9c52-1866420c3df5,2,1,60.115399870905094,1.0698095411209305
56137764-b4e0-45b8-9c52-1866420c3df5,4,1,68.56327943492215,1.2201474275732178
56137764-b4e0-45b8-9c52-1866420c3df5,8,2,102.68186752742622,1.8273194858031996
56137764-b4e0-45b8-9c52-1866420c3df5,16,2,153.93124175298726,2.7393498414312214
56137764-b4e0-45b8-9c52-1866420c3df5,32,1,461.49482352496125,8.212730289495624
56137764-b4e0-45b8-9c52-1866420c3df5,64,1,2348.598067139974,41.79549043805921
65da0822-a48a-4a68-bbad-8ed1b835a834,1,1,36.392758117988706,1.0
65da0822-a48a-4a68-bbad-8ed1b835a834,2,1,38.63807087705936,1.0616966911876022
65da0822-a48a-4a68-bbad-8ed1b835a834,4,2,49.45135484501952,1.3588240463856471
65da0822-a48a-4a68-bbad-8ed1b835a834,8,2,59.793894949543756,1.6430163043890873
65da0822-a48a-4a68-bbad-8ed1b835a834,16,1,93.50994613708463,2.5694657666208394
65da0822-a48a-4a68-bbad-8ed1b835a834,32,1,538.338605131954,14.79246512140163
65da0822-a48a-4a68-bbad-8ed1b835a834,64,1,1146.4645374020329,31.502546019872643
708b99c5-e4a7-49cb-a5cf-933c8d46470d,1,1,31.26886341406498,1.0
708b99c5-e4a7-49cb-a5cf-933c8d46470d,2,1,32.93542134889867,1.0532976818749369
708b99c5-e4a7-49cb-a5cf-933c8d46470d,4,1,42.17803521209862,1.3488829016128103
708b99c5-e4a7-49cb-a5cf-933c8d46470d,8,2,50.81519597949227,1.62510531024403
