cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
2,28,29,60,59.157171964645386,114.69446179839325,44709.55781288343,92.89684277973858,0.0,0.0,1.3166666666666667,0.016666666666666666,7.334894828694775,2
2,29,30,60,59.163652658462524,133.56173334355026,3730.753428531401,80.135915732246,0.0,0.0,1.25,0.0,10.364195829888857,3
4,0,1,60,59.156222105026245,214.33079309036404,32956.73609005453,93.29932970728295,0.0,0.0,2.15,0.0,3.430697161752548,4
4,1,2,60,59.15816783905029,220.6457785425822,69534.25283878834,96.13919422998278,0.0,0.0,2.683333333333333,0.0,6.530265454211445,3
4,2,3,60,59.15795350074768,177.86281264558983,62409.51184954932,95.55363162807795,0.0,0.0,2.1333333333333333,0.03333333333333333,5.778910627353725,3
4,3,4,60,59.148391246795654,197.7568578525571,51387.73745033453,94.8528739876287,0.0,0.0,2.0833333333333335,0.016666666666666666,4.5030770643887195,6
4,4,5,59,58.15594244003296,177.62587220818747,15224.067616356528,84.68140442132639,0.0,0.0,1.6610169491525424,0.0,1.4319675308601616,7
4,5,6,60,59.15665650367737,240.61535660175738,27704.21955639297,82.95032926047514,0.0,0.0,2.7,0.03333333333333333,3.714521906861394,3
4,6,7,60,59.156851291656494,278.3447671820622,35583.570694488466,93.24880734047393,0.0,0.0,3.1166666666666667,0.0,5.900156149536144,2
4,7,8,60,59.14732551574707,268.4314102380334,14219.61166741314,88.28615111239395,0.0,0.0,2.55,0.0,3.571231744282171,5
4,8,9,60,59.17958378791809,249.7482924680088,23169.341726258135,88.5416432883722,0.0,0.0,2.5833333333333335,0.016666666666666666,4.462202626986313,3
4,9,10,60,59.15779757499695,212.12757260090825,51484.2865158872,94.29294773376745,0.0,0.0,2.35,0.0,4.905391751630385,3
4,10,11,59,58.155635833740234,209.33482757894626,55491.92187023927,95.39975537566642,0.0,0.0,2.23728813559322,0.01694915254237288,6.826832811018585,4
4,11,12,60,59.15981912612915,225.79514605209746,96451.19076234316,96.72918564663307,0.0,0.0,2.9833333333333334,0.03333333333333333,8.292458895930928,2
4,12,13,60,59.199318408966064,253.8880582402723,52264.06457293598,95.23037468486481,0.0,0.0,2.95,0.03333333333333333,9.055295306328649,3
