run,workload,group,start_unix,duration_seconds,output_tokens,completed_tasks,prompt_tokens,cached_prompt_tokens,output_tokens_per_second,tasks_per_second,actual_prefix_reuse,frontend_cpu_percent,minute,tasks_per_minute,waiting_per_replica_mean,running_per_replica_mean,kv_cache_per_replica_mean
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014254.3432715,60.0,82795.0,30.0,14617519.0,12305568.0,1379.9166666666667,0.5,0.8418369765758471,16.78834360257242,52.0,30.0,0.30833333333333335,12.379166666666666,0.23600131752305664
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014314.3432715,60.0,98418.0,23.0,16683078.0,15061728.0,1640.3,0.38333333333333336,0.9028146964247244,13.131253689037825,53.0,23.0,0.03361344537815126,13.516806722689076,0.2526975216964256
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014374.3432715,60.0,93221.0,19.0,14944435.0,13262304.0,1553.6833333333334,0.31666666666666665,0.8874409771931826,12.171293278627227,54.0,19.0,0.07112970711297072,13.644351464435147,0.27118569987407537
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014434.3432715,60.0,99230.0,30.0,14236284.0,12782880.0,1653.8333333333333,0.5,0.8979084710588803,18.250833789056653,55.0,30.0,0.06666666666666667,12.604166666666666,0.22748447204968944
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014494.3432715,60.0,98777.0,21.0,12269278.0,10673520.0,1646.2833333333333,0.35,0.8699387201105069,13.214697230272776,56.0,21.0,0.19246861924686193,13.326359832635983,0.23420685190741586
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014554.3432715,60.0,105601.0,17.0,14770946.0,13583856.0,1760.0166666666667,0.2833333333333333,0.9196334479863375,10.946133231387805,57.0,17.0,0.03333333333333333,13.8125,0.25850861095426314
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014614.3432715,60.0,112629.0,18.0,15395334.0,14458224.0,1877.15,0.3,0.9391302585575604,11.408575934354598,58.0,18.0,0.12552301255230125,13.539748953974895,0.24599722635014612
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014674.3432715,60.0,108519.0,24.0,16280321.0,15192144.0,1808.65,0.4,0.9331599788480829,13.749235245230249,59.0,24.0,0.03765690376569038,13.326359832635983,0.27018279155808717
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_rr,1790011115.527821,60,53120,2,7759441,4835952,885.3333333333334,,0.6232345860996945,12.470463480700976,0.0,2.0,14.383333333333333,16.070833333333333,0.26359754376058725
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_rr,1790011175.527821,60,55039,1,7452621,4474800,917.3166666666667,,0.6004330556994647,11.984821867994233,1.0,1.0,13.577405857740585,16.88702928870293,0.2684321318121573
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_rr,1790011235.527821,60,56465,4,8580586,5047680,941.0833333333334,,0.5882675145963224,16.111633879900786,2.0,4.0,13.569620253164556,17.261603375527425,0.26250991716044
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_rr,1790011295.527821,60,46551,3,7793468,4303728,775.85,,0.5522224509037569,12.813716866581847,3.0,3.0,14.283333333333333,16.354166666666668,0.25460309617918314
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_rr,1790011355.527821,60,52437,4,7166698,4209216,873.95,,0.5873298972553329,12.026659466574841,4.0,4.0,14.1625,16.3125,0.2663514022209674
